<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.11	10:26:00	1.09431	1.09431	1.09418	1.09423	106	0	1
2024.03.11	10:27:00	1.09423	1.09439	1.09419	1.09436	108	0	1
2024.03.11	10:28:00	1.09435	1.09451	1.09425	1.09447	99	0	1
2024.03.11	10:29:00	1.09447	1.09451	1.09430	1.09432	76	0	1
2024.03.11	10:30:00	1.09432	1.09433	1.09409	1.09422	148	0	1
2024.03.11	10:31:00	1.09422	1.09423	1.09408	1.09411	101	0	1
2024.03.11	10:32:00	1.09411	1.09414	1.09393	1.09405	174	0	1
2024.03.11	10:33:00	1.09404	1.09411	1.09394	1.09401	126	0	1
2024.03.11	10:34:00	1.09401	1.09428	1.09393	1.09425	162	0	1
2024.03.11	10:35:00	1.09424	1.09431	1.09415	1.09428	105	0	1
2024.03.11	10:36:00	1.09429	1.09441	1.09424	1.09428	125	0	1
2024.03.11	10:37:00	1.09430	1.09430	1.09409	1.09413	99	0	1
2024.03.11	10:38:00	1.09412	1.09428	1.09412	1.09420	83	0	1
2024.03.11	10:39:00	1.09421	1.09423	1.09409	1.09413	68	0	1
2024.03.11	10:40:00	1.09413	1.09418	1.09404	1.09418	70	0	1
2024.03.11	10:41:00	1.09419	1.09420	1.09406	1.09413	73	0	1
2024.03.11	10:42:00	1.09414	1.09431	1.09411	1.09422	129	0	1
2024.03.11	10:43:00	1.09422	1.09429	1.09420	1.09426	79	0	1
2024.03.11	10:44:00	1.09426	1.09433	1.09423	1.09424	83	0	1
2024.03.11	10:45:00	1.09422	1.09428	1.09410	1.09417	104	0	1
2024.03.11	10:46:00	1.09417	1.09443	1.09413	1.09440	127	0	1
2024.03.11	10:47:00	1.09440	1.09451	1.09434	1.09450	162	0	1
2024.03.11	10:48:00	1.09448	1.09448	1.09434	1.09445	122	0	1
2024.03.11	10:49:00	1.09445	1.09448	1.09430	1.09436	95	0	1
2024.03.11	10:50:00	1.09436	1.09436	1.09415	1.09423	137	0	1
2024.03.11	10:51:00	1.09422	1.09443	1.09420	1.09438	117	0	1
2024.03.11	10:52:00	1.09436	1.09448	1.09427	1.09427	116	0	1
2024.03.11	10:53:00	1.09428	1.09432	1.09414	1.09432	137	0	1
2024.03.11	10:54:00	1.09432	1.09440	1.09430	1.09439	101	0	1
2024.03.11	10:55:00	1.09438	1.09453	1.09437	1.09444	123	0	1
2024.03.11	10:56:00	1.09443	1.09454	1.09438	1.09446	124	0	1
2024.03.11	10:57:00	1.09444	1.09446	1.09433	1.09438	72	0	1
2024.03.11	10:58:00	1.09437	1.09439	1.09428	1.09432	79	0	1
2024.03.11	10:59:00	1.09432	1.09446	1.09424	1.09446	93	0	1
2024.03.11	11:00:00	1.09446	1.09451	1.09432	1.09438	137	0	1
2024.03.11	11:01:00	1.09438	1.09442	1.09430	1.09431	88	0	1
2024.03.11	11:02:00	1.09431	1.09438	1.09419	1.09424	115	0	1
2024.03.11	11:03:00	1.09424	1.09440	1.09423	1.09433	109	0	1
2024.03.11	11:04:00	1.09434	1.09440	1.09430	1.09436	77	0	1
2024.03.11	11:05:00	1.09436	1.09441	1.09430	1.09440	137	0	1
2024.03.11	11:06:00	1.09440	1.09443	1.09422	1.09426	105	0	1
2024.03.11	11:07:00	1.09426	1.09433	1.09416	1.09433	119	0	1
2024.03.11	11:08:00	1.09434	1.09442	1.09431	1.09437	61	0	1
2024.03.11	11:09:00	1.09437	1.09440	1.09432	1.09438	80	0	1
2024.03.11	11:10:00	1.09437	1.09437	1.09411	1.09414	116	0	1
2024.03.11	11:11:00	1.09415	1.09441	1.09411	1.09427	125	0	1
2024.03.11	11:12:00	1.09427	1.09434	1.09424	1.09428	94	0	1
2024.03.11	11:13:00	1.09428	1.09432	1.09425	1.09428	84	0	1
2024.03.11	11:14:00	1.09428	1.09428	1.09417	1.09426	90	0	1
2024.03.11	11:15:00	1.09423	1.09426	1.09411	1.09414	92	0	1
2024.03.11	11:16:00	1.09415	1.09416	1.09403	1.09414	80	0	1
2024.03.11	11:17:00	1.09413	1.09423	1.09410	1.09419	85	0	1
2024.03.11	11:18:00	1.09419	1.09420	1.09410	1.09412	65	0	1
2024.03.11	11:19:00	1.09412	1.09413	1.09405	1.09409	63	0	1
2024.03.11	11:20:00	1.09409	1.09413	1.09402	1.09411	79	0	1
2024.03.11	11:21:00	1.09412	1.09430	1.09412	1.09427	80	0	1
2024.03.11	11:22:00	1.09429	1.09435	1.09425	1.09429	97	0	1
2024.03.11	11:23:00	1.09427	1.09433	1.09420	1.09422	59	0	1
2024.03.11	11:24:00	1.09422	1.09423	1.09414	1.09422	76	0	1
2024.03.11	11:25:00	1.09421	1.09425	1.09410	1.09423	87	0	1
2024.03.11	11:26:00	1.09422	1.09434	1.09419	1.09422	78	0	1
2024.03.11	11:27:00	1.09422	1.09431	1.09421	1.09430	44	0	1
2024.03.11	11:28:00	1.09430	1.09433	1.09427	1.09431	51	0	1
2024.03.11	11:29:00	1.09432	1.09436	1.09427	1.09432	52	0	1
2024.03.11	11:30:00	1.09432	1.09432	1.09409	1.09412	81	0	1
2024.03.11	11:31:00	1.09412	1.09420	1.09410	1.09417	90	0	1
2024.03.11	11:32:00	1.09416	1.09419	1.09404	1.09408	65	0	1
2024.03.11	11:33:00	1.09408	1.09416	1.09403	1.09408	73	0	1
2024.03.11	11:34:00	1.09409	1.09416	1.09406	1.09415	55	0	1
2024.03.11	11:35:00	1.09415	1.09417	1.09405	1.09407	40	0	1
2024.03.11	11:36:00	1.09407	1.09418	1.09404	1.09415	59	0	1
